Rank,Name,Symbol,Price,1h Change,24h Change,7d Change,Market Cap,24h Volume,Circulating Supply
1,Bitcoin,BTC,"$94,953.85",0.11%,1.43%,6.72%,"$1.88T$1,881,304,966,587","$71,452,660,331","19,809,512 BTC"
2,Ethereum,ETH,"$3,178.57",0.06%,0.67%,13.49%,"$382.81B$382,806,974,404","$38,243,894,746","120,494,934 ETH"
3,XRP,XRP,$2.53,0.01%,2.43%,3.73%,"$145.47B$145,474,846,302","$9,621,426,487","57,493,120,449 XRP"
4,Tether,USDT,$0.9995,0.01%,0.02%,0.07%,"$137.17B$137,174,227,380","$137,685,946,412","137,240,776,960 USDT"
5,BNB,BNB,$689.79,0.11%,1.28%,5.70%,"$99.35B$99,345,768,497","$2,053,849,225","144,006,090 BNB"
6,Solana,SOL,$185.80,0.07%,1.87%,14.13%,"$90B$90,001,311,873","$5,004,219,975","484,408,697 SOL"
7,Dogecoin,DOGE,$0.3436,0.35%,4.68%,12.35%,"$50.72B$50,720,647,349","$3,778,018,384","147,616,566,384 DOGE"
8,USDC,USDC,$0.9999,0.01%,0.01%,0.00%,"$45.74B$45,738,983,050","$9,463,635,054","45,742,364,510 USDC"
9,Cardano,ADA,$0.9576,0.60%,2.23%,12.71%,"$33.67B$33,667,128,350","$1,462,658,050","35,158,211,529 ADA"
10,TRON,TRX,$0.2234,0.03%,1.60%,17.38%,"$19.25B$19,248,595,464","$1,012,385,101","86,171,051,065 TRX"
